date,equity,return,cash,shares,exposed
2019-07-02,10000,0,10000,0,False
2019-07-03,10000,0,10000,0,False
2019-07-04,10000,0,10000,0,False
2019-07-05,10000,0,10000,0,False
2019-07-08,10000,0,10000,0,False
2019-07-09,10000,0,10000,0,False
2019-07-10,10000,0,10000,0,False
2019-07-11,10000,0,10000,0,False
2019-07-12,10000,0,10000,0,False
2019-07-15,10000,0,10000,0,False
2019-07-16,10000,0,10000,0,False
2019-07-17,10000,0,10000,0,False
2019-07-18,10000,0,10000,0,False
2019-07-19,10000,0,10000,0,False
2019-07-22,10000,0,10000,0,False
2019-07-23,10000,0,10000,0,False
2019-07-24,10000,0,10000,0,False
2019-07-25,10000,0,10000,0,False
2019-07-26,10000,0,10000,0,False
2019-07-29,10000,0,10000,0,False
2019-07-30,10000,0,10000,0,False
2019-07-31,10000,0,10000,0,False
2019-08-01,10000,0,10000,0,False
2019-08-02,10000,0,10000,0,False
2019-08-05,10000,0,10000,0,False
2019-08-06,10000,0,10000,0,False
2019-08-07,10000,0,10000,0,False
2019-08-08,10000,0,10000,0,False
2019-08-09,10000,0,10000,0,False
2019-08-12,10000,0,10000,0,False
